"(0, 0.0058832043)","(1, 0.5658121)","(2, 0.0030767168)","(3, 0.4231699)","(4, 0.00205807)"
"(0, 0.06747001)","(1, 0.41420025)","(2, 0.00061342254)","(3, 0.51730317)","(4, 0.0004131144)"
"(0, 0.0042032637)","(1, 0.0028884704)","(2, 0.0022045996)","(3, 0.98921126)","(4, 0.0014924045)"
"(0, 0.005582169)","(1, 0.0038395363)","(2, 0.0029374124)","(3, 0.9856511)","(4, 0.0019897812)"
"(0, 0.0017180408)","(1, 0.0011782271)","(2, 0.0008971229)","(3, 0.9956006)","(4, 0.00060606084)"
"(0, 0.0072141583)","(1, 0.005054964)","(2, 0.003750465)","(3, 0.9814408)","(4, 0.0025396359)"
"(0, 0.0010979065)","(1, 0.0007505387)","(2, 0.0005720509)","(3, 0.9971931)","(4, 0.000386399)"
"(0, 0.008750653)","(1, 0.47874686)","(2, 0.004226705)","(3, 0.50543386)","(4, 0.002841974)"
"(0, 0.98605937)","(1, 0.00480328)","(2, 0.0036737327)","(3, 0.002976909)","(4, 0.0024867344)"
"(0, 0.00749321)","(1, 0.0051346333)","(2, 0.0039094593)","(3, 0.9808101)","(4, 0.002652634)"
"(0, 0.004267234)","(1, 0.08029136)","(2, 0.0022417414)","(3, 0.6236231)","(4, 0.28957662)"
"(0, 0.002643155)","(1, 0.0017576655)","(2, 0.001327108)","(3, 0.6790486)","(4, 0.31522354)"
"(0, 0.26375645)","(1, 0.0043736827)","(2, 0.0033305816)","(3, 0.72628695)","(4, 0.0022523305)"
"(0, 0.047315802)","(1, 0.0043125316)","(2, 0.003255854)","(3, 0.7481252)","(4, 0.19699061)"
"(0, 0.37815905)","(1, 0.045526627)","(2, 0.0014436877)","(3, 0.5738919)","(4, 0.0009787397)"
"(0, 0.001485408)","(1, 0.04935093)","(2, 0.0007443281)","(3, 0.65383136)","(4, 0.29458794)"
"(0, 0.4450711)","(1, 0.0054935617)","(2, 0.0041985917)","(3, 0.5423946)","(4, 0.0028421457)"
"(0, 0.45794588)","(1, 0.0007610959)","(2, 0.0005817763)","(3, 0.54031724)","(4, 0.0003940085)"
"(0, 0.45511478)","(1, 0.0022374475)","(2, 0.001717472)","(3, 0.5397713)","(4, 0.00115901)"
"(0, 0.4479571)","(1, 0.005105316)","(2, 0.0038299668)","(3, 0.5405126)","(4, 0.0025950307)"
"(0, 0.0035764908)","(1, 0.4314052)","(2, 0.0018195284)","(3, 0.56196827)","(4, 0.001230587)"
"(0, 0.028125202)","(1, 0.019112322)","(2, 0.00066493126)","(3, 0.9516488)","(4, 0.0004487893)"
"(0, 0.0090490505)","(1, 0.21256645)","(2, 0.0047672107)","(3, 0.7703912)","(4, 0.0032260048)"
